ThreadConfig,Threads_X,Threads_Y,ThreadsPerBlock,Grid_X,Grid_Y,NumBlocks,TotalThreads,CPU_Time_ms,GPU_Time_ms,Speedup,MSE,RMSE,PSNR_dB
1x1,1,1,1,800,600,480000,480000,169.93,71.89,2.36,0.021126,0.145348,21.52
2x2,2,2,4,400,300,120000,480000,164.27,26.83,6.12,0.021126,0.145348,21.52
4x4,4,4,16,200,150,30000,480000,166.37,12.13,13.71,0.021126,0.145348,21.52
8x8,8,8,64,100,75,7500,480000,164.13,11.46,14.32,0.021126,0.145348,21.52
16x16,16,16,256,50,38,1900,486400,163.69,11.36,14.41,0.021126,0.145348,21.52
16x32,16,32,512,50,19,950,486400,166.33,11.66,14.26,0.021126,0.145348,21.52
32x16,32,16,512,25,38,950,486400,165.08,11.51,14.34,0.021126,0.145348,21.52
8x16,8,16,128,100,38,3800,486400,168.19,11.44,14.70,0.021126,0.145348,21.52
16x8,16,8,128,50,75,3750,480000,167.09,11.40,14.65,0.021126,0.145348,21.52
4x16,4,16,64,200,38,7600,486400,171.18,11.55,14.82,0.021126,0.145348,21.52
16x4,16,4,64,50,150,7500,480000,168.57,11.42,14.76,0.021126,0.145348,21.52
32x8,32,8,256,25,75,1875,480000,169.67,11.33,14.97,0.021126,0.145348,21.52
8x32,8,32,256,100,19,1900,486400,170.30,11.45,14.88,0.021126,0.145348,21.52
32x4,32,4,128,25,150,3750,480000,170.79,11.38,15.01,0.021126,0.145348,21.52
4x32,4,32,128,200,19,3800,486400,174.00,11.56,15.05,0.021126,0.145348,21.52
